Contraste	Contexts
l,ʁ	p,ɛ	e,e	k,a	ɔ,i
e,i	k,a	d,t	p,s	z,k
p,i	k,a	s,a	s,ɛ	s,i
ɛ,ə	d,t	s,d	k,s	ʒ,d
a,f	i,ɛ	ɛ,ɛ	e,ɛ
e,s	ə,t	t,ɛ	t,e	u,t
y,s	t,ɛ	b,t	k,t	s,ɛ
ʒ,s	ə,t	ɔ,i	i,i	ə,u
e,ʒ	ə,t	s,e	a,t
a,ʒ	i,ɛ	a,s	a,d	a,t
y,e	t,ɛ	d,t	s,d	k,s
a,e	z,v	t,ɛ	d,t	p,s
o,e	d,t	s,d	u,t	d,s
m,l	ɔ,i	i,i	u,ə	ɔ,ɔ
s,l	ɔ,i	i,i	u,ə	b,ɛ
s,p	ɔ,i	i,i	ə,u	a,ø
ʃ,p	u,d	e,ɛ	e,a	i,a
d,f	ɔ,i	i,i	u,ə	ə,u
d,p	ɔ,i	i,i	ə,u	e,ø
d,ʁ	ɔ,i	i,i	u,ə	t,ɛ
f,n	ɔ,i	i,i	u,ə	ə,u
f,p	ɔ,i	i,i	ə,u	e,ɛ
s,f	ɔ,i	i,i	u,ə	ə,u
ʒ,f	ɔ,i	i,i	ə,u	i,ɛ
ʒ,l	ɔ,i	i,i	b,ɛ	i,ɛ
ʒ,n	ɔ,i	i,i	ə,u	i,ɛ
ʒ,p	ɔ,i	i,i	ə,u	a,ø
ʒ,ʁ	ɔ,i	i,i	ə,u	t,u
v,n	ɔ,i	i,i	u,ə	ə,u
v,p	ɔ,i	i,i	ə,u	e,ɛ
v,ʁ	ɔ,i	i,i	u,ə	ə,u
b,f	ɔ,i	ə,u	e,ɛ	i,ɛ
b,l	ɔ,i	ɔ,t	i,ɛ	ə,ə
b,ʁ	ɔ,i	ə,u	ɔ,t	ɔ,s
v,f	ɔ,i	i,i	u,ə	ə,u
v,l	ɔ,i	i,i	u,ə	e,ɛ
m,ʁ	ɔ,i	i,i	u,ə	t,ɛ
k,f	i,i	ə,u	e,ɛ	i,ɛ
k,l	i,i	ɔ,t	i,ɛ	ə,ə
m,f	ɔ,i	i,i	ə,u	e,ɛ
b,s	ɔ,i	ə,u	ɔ,t	e,ɛ
s,t	ɔ,i	i,i	t,ɛ	ə,u
v,s	ɔ,i	i,i	u,ə	ə,u
v,t	ɔ,i	i,i	ə,u	i,ɛ
b,m	ɔ,i	ə,u	ɔ,t	i,ɛ
ʒ,m	ɔ,i	i,i	ə,u	i,ɛ
v,m	ɔ,i	i,i	u,ə	ə,u
ʃ,s	i,ɛ	ə,ə	i,a	a,e
b,d	ɔ,i	ə,u	ə,ə	a,s
v,d	ɔ,i	i,i	u,ə	ə,u
k,d	i,i	ə,u	i,ɛ	ɔ,d
d,ʒ	ɔ,i	i,i	ə,u	a,ø
v,ʒ	ɔ,i	i,i	ə,u	i,ɛ
b,v	ɔ,i	ə,u	i,ɛ	a,s
ʃ,m	i,ɛ	ɔ,d	ə,ə	i,a
ɛ,ʁ	t,ɛ	t,e	v,e	v,a
n,j	t,ɛ	t,e	i,ɛ	i,a
d,z	i,i	i,ɛ	o,ɛ	ɛ,ɔ
l,z	i,i	i,ɛ	ɛ,ɔ	i,a
n,z	i,i	i,ɛ	ɛ,ɔ	i,a
t,z	i,i	i,ɛ	o,ɛ	ɛ,ɔ
z,ʁ	i,i	i,ɛ	o,ɛ	ɛ,ɔ
ɲ,l	i,i	i,k	a,d	ɛ,d
ɲ,n	i,i	ɛ,d	i,d	a,i
ɲ,t	i,i	ɛ,d	i,d	a,i
ɲ,z	i,i	i,d	a,i
ɲ,ʁ	i,i	i,k	a,d	ɛ,d
k,z	i,i	i,ɛ	o,ɛ	ɛ,ɔ
m,z	i,i	i,ɛ	ɛ,ɔ	i,a
s,z	i,i	i,ɛ	o,ɛ	i,a
z,ʒ	i,i	i,ɛ	o,ɛ	i,a
f,z	i,i	i,ɛ	ɛ,ɔ	i,a
p,z	i,i	i,ɛ	ɛ,ɔ	i,a
v,z	i,i	i,ɛ	i,a	a,e
ɲ,ʒ	i,i	a,d	a,i
ʃ,f	e,ɛ	u,ɛ	i,e	ə,ɛ
ʃ,n	i,ɛ	ɔ,s	ə,ə	e,a
ʃ,ʒ	a,e	e,u	i,e	ə,ɛ
ɲ,d	i,i	i,d	a,i
ɲ,s	i,i	i,k	ɛ,d	i,d
k,v	i,i	ə,u	e,ɛ	i,ɛ
ɲ,k	i,i	i,k	i,d	a,i
ʃ,k	e,ɛ	i,ɛ	ə,ə	e,a
i,ɛ	d,t	p,s	p,k	s,d
j,m	t,ɛ	i,ɛ	ɛ,ɔ	i,a
j,s	t,ɛ	t,e	i,ɛ	i,a
a,s	t,ɛ	b,t	k,s	i,ɛ
a,y	t,ɛ	d,t	p,s	s,d
d,e	t,ɛ	t,e	s,e	d,e
j,e	t,ɛ	t,e	v,a	ʒ,a
j,y	t,ɛ	t,e	s,a	d,e
p,y	s,a	s,ɛ	t,a	s,i
t,e	t,ɛ	u,d	s,d	i,k
t,y	t,ɛ	s,d	u,s	s,a
o,ʁ	u,t	d,s	a,s	t,f
a,m	t,ɛ	i,ɛ	i,a	a,d
f,y	s,a	s,ɛ	t,a
n,e	t,ɛ	t,e	d,a	ɛ,t
t,j	t,ɛ	p,e	i,ɛ	ɛ,ɔ
d,j	t,ɛ	t,e	i,ɛ	ɛ,ɔ
p,j	i,ɛ	i,a	a,e	s,e
b,j	i,ɛ	i,a	ɛ,ɛ	a,ɛ
k,j	i,ɛ	ɛ,ɔ	i,a	a,e
e,m	t,ɛ	s,ɛ	i,s	t,a
y,m	t,ɛ	t,a	d,i	k,i
n,ɛ	t,ɛ	t,e	v,ɛ	ɛ,d
a,d	t,ɛ	i,ɛ	a,s	i,a
p,a	i,ɛ	i,a	s,a	a,d
a,ə	d,t	s,d	k,s	d,p
e,e	d,t	s,d	d,p	d,s
o,ə	d,t	s,d	k,s	p,z
u,e	d,t	p,s	t,e	v,e
u,ə	d,t	s,d	k,s	ʒ,t
y,ə	d,t	s,d	k,s	d,p
ɔ,e	p,s	k,s	p,t	d,s
ɔ,ə	k,s	p,t	d,s	k,t
o,i	d,t	ʃ,z	b,t	s,d
ø,e	d,t	s,d	d,p	p,t
ø,i	d,t	p,k	s,d	d,p
ø,ə	d,t	s,d	d,p	p,t
ɛ,e	d,t	p,s	v,e	v,a
y,i	d,t	p,s	b,t	s,d
a,u	d,t	p,s	b,t	s,d
a,o	d,t	b,t	s,d	k,s
o,u	d,t	b,t	s,d	b,d
ø,o	d,t	d,f	p,d
ø,u	d,t	p,s	s,d	d,s
ɛ,a	d,t	p,s	z,k	p,k
ɛ,o	d,t	ʃ,z	s,d	f,a
ɛ,u	d,t	p,s	v,e	v,a
u,y	d,t	p,s	t,e	s,d
ɛ,y	d,t	p,s	s,d	f,a
ø,y	d,t	p,s	d,p	p,t
ɔ,u	p,s	d,s	t,d	v,t
y,o	d,t	b,t	s,d	f,a
ɔ,o	k,s	z,p	e,d	v,t
ɔ,y	p,s	k,s	p,t	d,s
ø,ɛ	d,t	p,s	p,k	s,d
ɛ,ɔ	p,s	p,k	k,s	d,s
i,ɔ	p,s	p,k	b,t	k,s
ø,ɔ	p,s	p,k	p,t	d,s
p,ɡ	ə,u	i,a	ɛ,ɛ	a,ɛ
s,ɡ	ə,u	i,a	i,e	ɛ,ɛ
v,ɡ	ə,u	i,a	i,e	a,ɛ
d,ɡ	ə,u	i,a	i,e	ɛ,ɛ
j,ɡ	i,a	ɛ,ɛ	a,ɛ	a,a
n,ɡ	ə,u	i,a	i,e	a,ɛ
b,ɡ	ə,u	a,ɛ	ə,a	e,a
f,ɡ	ə,u	i,e	ɛ,ɛ	a,ɛ
ʒ,ɡ	ə,u	i,a	i,e	ə,a
j,v	i,ɛ	i,a	a,e	i,ø
i,j	ʒ,a	s,a	s,ɛ	v,ɛ
z,j	i,ɛ	ɛ,ɔ	i,a	a,e
o,l	b,d	ɛ,t	a,t	b,k
u,j	t,e	v,a	v,ɛ
ɛ,d	t,e	t,i	s,e	s,ɛ
ɛ,j	t,e	v,a	z,ɛ	s,e
f,j	i,ɛ	o,ø	ɛ,ɔ	i,a
s,u	t,e	b,t	k,s	k,t
j,w	v,a	ʒ,a	s,a	d,a
p,ɛ	v,a	ɔ,t	s,e	s,a
ɛ,m	ɔ,t	s,ɛ	i,s	t,a
s,o	b,t	k,t	t,a	k,k
k,e	s,d	i,k	s,a	s,ɛ
k,i	s,d	s,a	s,ɛ	s,o
k,ɛ	s,d	a,s	s,a	s,ɛ
t,o	s,d	ɛ,f	ɛ,s
t,u	s,d	s,f	ʒ,e	s,p
a,k	s,d	i,ɛ	a,s	i,a
ɡ,ʁ	i,a	i,e	ɛ,ɛ	a,ɛ
y,w	f,a	s,a	t,a	d,a
m,o	t,a	ɛ,t	a,k
o,p	t,a	ɛ,t	a,t	ɛ,s
o,k	a,s	t,a	ɛ,t	a,t
s,ə	k,s	k,t	k,k	k,e
s,ɛ	k,s	u,t	u,s	k,k
a,v	i,ɛ	a,s	i,a	ɛ,p
d,ʃ	i,ɛ	e,a	a,e	ɛ,i
z,ʃ	i,ɛ	i,a	a,e	ɛ,i
ɡ,ʃ	i,a	a,ɛ	ə,a	e,a
v,ʃ	i,ɛ	ə,ə	e,a	i,a
j,ʃ	i,ɛ	i,a	a,e	a,ɛ
a,n	i,ɛ	i,a	ɛ,p	ɛ,ɛ
z,a	i,ɛ	i,a	i,d	i,p
ʒ,j	i,ɛ	a,e	s,e	a,d
ɡ,z	i,a	i,e	ɛ,ɛ	a,ɛ
b,z	i,ɛ	o,a	a,ɛ	e,a
b,ʃ	ɔ,s	ə,ɛ	a,ɛ	ə,a
ø,w	t,a	d,a
z,e	i,d	i,p	ø,t
y,y	d,p	d,s	d,f	d,d
a,a	k,b	t,ʃ	v,t	e,t
ɔ,s	ɛ,p	k,t	i,t	k,p
ɲ,m	a,d	ɛ,d	a,i
y,k	s,a	t,a	d,i	s,i
ə,j	d,ɔ	s,ɛ	k,e
ɲ,j	a,d	i,d	a,i
d,i	s,ɛ	ʒ,e	k,e
f,ɛ	s,ɛ	t,a	e,a	e,ɛ
ʃ,a	u,k	ɛ,a	a,t
z,ɛ	i,d	i,p	e,ɛ
